Name of the initiative,Type,Status,Type of juridiction covered,Jurisdiction covered,World Bank region,Year of implementation,Year of abolishment,GHG emissions covered [MtCO2e],Proportion of global GHG emissions covered,"Government income, previous year",Value [billion US$],Initiatives with overlapping GHG emissions covered,Covered GHG emissions overlapping with other initiatives [MtCO2e]
Alberta TIER,ETS,Implemented,Subnational,Alberta,North America,2007,0,153.87512,0.002840319,0.341225627,2.783371811,N/A,
Alberta carbon tax,Carbon tax,Abolished,Subnational,Alberta,North America,2017,2020,0,0,N/A,0.942533516,N/A,
Argentina carbon tax,Carbon tax,Implemented,National,Argentina,Latin America and the Caribbean  ,2018,0,88.1248,0.00162666,0.000488279,0.180258345,N/A,
Australia CPM,ETS,Abolished,National,Australia,East Asia & Pacific ,2012,2015,0,0,N/A,0,N/A,
Austria carbon tax,Carbon tax,Under consideration,National,Austria,Europe and Central Asia,2022,0,N/A,N/A,N/A,0,N/A,
BC GGIRCA,ETS,Implemented,Subnational,British Columbia,North America,2016,0,0,0,N/A,0,BC carbon tax,0
BC carbon tax,Carbon tax,Implemented,Subnational,British Columbia,North America,2008,0,46.3749,0.000856016,1.265817748,1.374762505,BC GGIRCA,0
Baja California carbon tax,Carbon tax,Implemented,Subnational,Baja California,Latin America and the Caribbean  ,2020,0,N/A,N/A,N/A,0,N/A,
Beijing pilot ETS,ETS,Implemented,Subnational,Beijing,East Asia & Pacific ,2013,0,69.65343,0.001285704,0,0.610211026,N/A,0
Brazil undecided,Undecided,Under consideration,National,Brazil,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
Brunei undecided,Undecided,Under consideration,National,Brunei,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,0,N/A,N/A
California CaT,ETS,Implemented,Subnational,California,North America,2012,0,352.64,0.006509239,1.698315586,5.11326,N/A,
Canada federal OBPS,ETS,Implemented,National,Canada,North America,2019,0,73.52361,0.001357143,0.203541584,0,N/A,
Canada federal fuel charge,Carbon tax,Implemented,National,Canada,North America,2019,0,179.72438,0.00331746,3.406685237,3.010831877,N/A,
Catalonia carbon tax,Carbon tax,Under consideration,Subnational,Catalonia,Europe and Central Asia,TBC,0,N/A,N/A,N/A,0,N/A,
Chile ETS,ETS,Under consideration,National,Chile,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
Chile carbon tax,Carbon tax,Implemented,National,Chile,Latin America and the Caribbean  ,2017,0,58.10493,0.001072535,0.165,0.1655,N/A,
China national ETS,ETS,Implemented,National,China,East Asia & Pacific ,2021,0,3996.904164,0.073777236,N/A,0,N/A,0
Chongqing pilot ETS,ETS,Implemented,Subnational,Chongqing,East Asia & Pacific ,2014,0,21.20448,0.000391405,0,0.530538721,N/A,0
Colombia ETS,ETS,Under consideration,National,Colombia,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
Colombia carbon tax,Carbon tax,Implemented,National,Colombia,Latin America and the Caribbean  ,2017,0,44.3532,0.000818698,0.029319679,0.116589315,N/A,
Cote dIvoire carbon tax,Carbon tax,Under consideration,National,Cote dIvoire,Sub-Saharan Africa,TBC,0,N/A,N/A,N/A,0,N/A,
Denmark carbon tax,Carbon tax,Implemented,National,Denmark,Europe and Central Asia,1992,0,22.0087,0.00040625,0.575428418,0.534777077,EU ETS,0
EU ETS,ETS,Implemented,Regional,"EU, Norway, Iceland, Liechtenstein",Europe and Central Asia,2005,0,1725.77348,0.031855354,22.5476216,33.6623297,"Finland carbon tax, Ireland carbon tax, Norway carbon tax, Netherlands carbon tax",77.088742
Estonia carbon tax,Carbon tax,Implemented,National,Estonia,Europe and Central Asia,2000,0,1.6059472,2.96E-05,0.001667932,0.00274603,EU ETS,0
Finland carbon tax,Carbon tax,Implemented,National,Finland,Europe and Central Asia,1990,0,40.29444,0.000743779,1.5246308,1.419629896,EU ETS,14.9089428
France carbon tax,Carbon tax,Implemented,National,France,Europe and Central Asia,2014,0,171.723904,0.003169782,9.63172,8.9675225,N/A,
Fujian pilot ETS,ETS,Implemented,Subnational,Fujian,East Asia & Pacific ,2016,0,76.008,0.001403001,0,0.256190096,N/A,0
Germany ETS,ETS,Implemented,National,Germany,Europe and Central Asia,2021,0,398.6204,0.007357973,N/A,0,N/A,
Guangdong pilot ETS,ETS,Implemented,Subnational,Guangdong (except Shenzhen),East Asia & Pacific ,2013,0,163.30875,0.00301445,0.001716529,1.921109004,N/A,0
Hawaii carbon tax,Carbon tax,Under consideration,Subnational,Hawaii,North America,TBC,0,N/A,N/A,N/A,0,N/A,
Hubei pilot ETS,ETS,Implemented,Subnational,Hubei,East Asia & Pacific ,2014,0,138.37428,0.002554195,0.007506772,0.913140331,N/A,0
Iceland carbon tax,Carbon tax,Implemented,National,Iceland,Europe and Central Asia,2010,0,2.6158,4.83E-05,0.052695749,0.046959019,EU ETS,0
Indonesia  carbon tax,Carbon tax,Scheduled,National,Indonesia,East Asia & Pacific ,2022,0,N/A,,N/A,0,N/A,0
Indonesia ETS,ETS,Under consideration,National,Indonesia,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,0,N/A,
Ireland carbon tax,Carbon tax,Implemented,National,Ireland,Europe and Central Asia,2010,0,32.16115,0.00059365,0.5802524,0.579608162,EU ETS,12.86446
Israel carbon tax,Carbon tax,Under consideration,National,Israel,Europe and Central Asia,TBC,0,N/A,N/A,N/A,0,N/A,N/A
Jalisco carbon tax,Carbon tax,Under consideration,Subnational,Jalisco,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,0,N/A,
Japan carbon pricing mechanism,ETS,Under consideration,National,Japan,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,0,N/A,
Japan carbon tax,Carbon tax,Implemented,National,Japan,East Asia & Pacific ,2012,0,1008.9135,0.018623126,2.364834371,2.438185863,"Tokyo CaT, Saitama ETS",20.5818354
Kazakhstan ETS,ETS,Implemented,National,Kazakhstan,Europe and Central Asia,2013,0,156.52129,0.002889163,0,0.180217114,N/A,
Korea ETS,ETS,Implemented,National,"Korea, Republic of",East Asia & Pacific ,2015,0,513.41955,0.009477004,0.21923009,17.9672244,N/A,
Latvia carbon tax,Carbon tax,Implemented,National,Latvia,Europe and Central Asia,2004,0,0.53556,9.89E-06,0.005000272,0.018120264,EU ETS,0
Liechtenstein carbon tax,Carbon tax,Implemented,National,Liechtenstein,Europe and Central Asia,2008,0,0.054184,1.00E-06,0.00635273,0.002082039,N/A,
Luxembourg carbon tax,Carbon tax,Implemented,National,Luxembourg,Europe and Central Asia,2021,0,7.03365,0.000129831,N/A,0,N/A,
Malaysia ETS,ETS,Under consideration,National,Malaysia,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,0,N/A,N/A
Manitoba ETS,ETS,Under consideration,Subnational,Manitoba,North America,TBC,0,N/A,N/A,N/A,0,N/A,
Manitoba carbon tax,Carbon tax,Under consideration,Subnational,Manitoba,North America,TBC,0,N/A,N/A,N/A,0,N/A,
